Lat,Lon
8.25,77
8.25,77.25
8.25,77.5
8.5,76.75
8.5,77
8.5,77.25
8.5,77.5
8.5,77.75
8.75,76.75
8.75,77
8.75,77.25
8.75,77.5
8.75,77.75
9,76.5
9,76.75
9,77
9,77.25
9,77.5
9,77.75
9.25,76.5
9.25,76.75
9.25,77
9.25,77.25
9.25,77.5
9.25,77.75
9.25,78
9.25,78.25
9.25,78.5
9.5,76.25
9.5,76.5
9.5,76.75
9.5,77
9.5,77.25
9.5,77.5
9.5,77.75
9.5,78
9.5,78.25
9.5,78.5
9.75,76.5
9.75,76.75
9.75,77
9.75,77.25
9.75,77.5
9.75,77.75
9.75,78
9.75,78.25
9.75,78.5
10,76.25
10,76.5
10,76.75
10,77
10,77.25
10,77.5
10,77.75
10,78
10,78.25
10,78.5
10,78.75
10.25,76.25
10.25,76.5
10.25,76.75
10.25,77
10.25,77.25
10.25,77.5
10.25,77.75
10.25,78
10.25,78.25
10.25,78.5
10.25,78.75
10.25,79
10.5,76
10.5,76.25
10.5,76.5
10.5,76.75
10.5,77
10.5,77.25
10.5,77.5
10.5,77.75
10.5,78
10.5,78.25
10.5,78.5
10.5,78.75
10.5,79
10.5,79.25
10.5,79.5
10.75,76
10.75,76.25
10.75,76.5
10.75,76.75
10.75,77
10.75,77.25
10.75,77.5
10.75,77.75
10.75,78
10.75,78.25
10.75,78.5
10.75,78.75
10.75,79
10.75,79.25
10.75,79.5
11,76
11,76.25
11,76.5
11,76.75
11,77
11,77.25
11,77.5
11,77.75
11,78
11,78.25
11,78.5
11,78.75
11,79
11,79.25
11,79.5
11.25,75.75
11.25,76
11.25,76.25
11.25,76.5
11.25,76.75
11.25,77
11.25,77.25
11.25,77.5
11.25,77.75
11.25,78
11.25,78.25
11.25,78.5
11.25,78.75
11.25,79
11.25,79.25
11.25,79.5
11.5,75.75
11.5,76
11.5,76.25
11.5,76.5
11.5,76.75
11.5,77
11.5,77.25
11.5,77.5
11.5,77.75
11.5,78
11.5,78.25
11.5,78.5
11.5,78.75
11.5,79
11.5,79.25
11.75,75.75
11.75,76
11.75,76.25
11.75,76.5
11.75,76.75
11.75,77
11.75,77.25
11.75,77.5
11.75,77.75
11.75,78
11.75,78.25
11.75,78.5
11.75,78.75
11.75,79
11.75,79.25
11.75,79.5
12,75.25
12,75.5
12,75.75
12,76
12,76.25
12,76.5
12,76.75
12,77
12,77.25
12,77.5
12,77.75
12,78
12,78.25
12,78.5
12,78.75
12,79
12,79.25
12,79.5
12.25,75
12.25,75.25
12.25,75.5
12.25,75.75
12.25,76
12.25,76.25
12.25,76.5
12.25,76.75
12.25,77
12.25,77.25
12.25,77.5
12.25,77.75
12.25,78
12.25,78.25
12.25,78.5
12.25,78.75
12.25,79
12.25,79.25
12.25,79.5
12.5,75
12.5,75.25
12.5,75.5
12.5,75.75
12.5,76
12.5,76.25
12.5,76.5
12.5,76.75
12.5,77
12.5,77.25
12.5,77.5
12.5,77.75
12.5,78
12.5,78.25
12.5,78.5
12.5,78.75
12.5,79
12.5,79.25
12.5,79.5
12.5,79.75
12.75,75
12.75,75.25
12.75,75.5
12.75,75.75
12.75,76
12.75,76.25
12.75,76.5
12.75,76.75
12.75,77
12.75,77.25
12.75,77.5
12.75,77.75
12.75,78
12.75,78.25
12.75,78.5
12.75,78.75
12.75,79
12.75,79.25
12.75,79.5
12.75,79.75
13,75
13,75.25
13,75.5
13,75.75
13,76
13,76.25
13,76.5
13,76.75
13,77
13,77.25
13,77.5
13,77.75
13,78
13,78.25
13,78.5
13,78.75
13,79
13,79.25
13,79.5
13,79.75
13.25,75
13.25,75.25
